주용도코드명,대지위치
주거지,세종특별자치시  연동면 합강리 96번지
주거지,세종특별자치시  연동면 합강리 96-12번지
창고시설,세종특별자치시  연동면 합강리 105번지
주거지,세종특별자치시  연동면 합강리 105번지
주거지,세종특별자치시  연동면 합강리 105번지
주거지,세종특별자치시  부강면 부강리
주거지,세종특별자치시  부강면 부강리
주거지,세종특별자치시  부강면 부강리
주거지,세종특별자치시  부강면 부강리
주거지,세종특별자치시  부강면 부강리
주거지,세종특별자치시  부강면 부강리
주거지,세종특별자치시  부강면 부강리
주거지,세종특별자치시  부강면 부강리
주거지,세종특별자치시  부강면 부강리
주거지,세종특별자치시  부강면 부강리
주거지,세종특별자치시  부강면 행산리
주거지,세종특별자치시  부강면 행산리
주거지,세종특별자치시  부강면 행산리
주거지,세종특별자치시  부강면 행산리
주거지,세종특별자치시  부강면 행산리
주거지,세종특별자치시  부강면 행산리
편의시설,세종특별자치시  부강면 행산리 1번지
농축산업시설,세종특별자치시  부강면 행산리 10-1번지
주거지,세종특별자치시  부강면 행산리 10-1번지
농축산업시설,세종특별자치시  부강면 행산리 65번지
농축산업시설,세종특별자치시  부강면 산수리 35-3번지
편의시설,세종특별자치시  부강면 산수리 35-4번지
창고시설,세종특별자치시  부강면 산수리 35-7번지
창고시설,세종특별자치시  부강면 산수리 35-9번지
창고시설,세종특별자치시  부강면 산수리 35-9번지
창고시설,세종특별자치시  부강면 산수리 35-9번지
주거지,세종특별자치시  부강면 산수리 35-18번지
농축산업시설,세종특별자치시  부강면 산수리 35-20번지
농축산업시설,세종특별자치시  부강면 산수리 35-20번지
농축산업시설,세종특별자치시  부강면 산수리 35-20번지
창고시설,세종특별자치시  부강면 갈산리
생산시설,세종특별자치시  부강면 갈산리 2-5번지
생산시설,세종특별자치시  부강면 갈산리 2-5번지
창고시설,세종특별자치시  부강면 갈산리 3번지
창고시설,세종특별자치시  부강면 갈산리 3번지
주거지,세종특별자치시  부강면 갈산리 5번지
생산시설,세종특별자치시  부강면 갈산리 7번지
주거지,세종특별자치시  부강면 갈산리 9번지
주거지,세종특별자치시  부강면 갈산리 16번지
주거지,세종특별자치시  부강면 갈산리 16번지
주거지,세종특별자치시  부강면 문곡리 16번지
편의시설,세종특별자치시  부강면 문곡리 16번지
편의시설,세종특별자치시  부강면 문곡리 17번지
주거지,세종특별자치시  부강면 문곡리 18번지
편의시설,세종특별자치시  부강면 문곡리 18번지
창고시설,세종특별자치시  부강면 문곡리 19번지
창고시설,세종특별자치시  부강면 문곡리 19번지
창고시설,세종특별자치시  부강면 문곡리 19번지
자동차관련시설,세종특별자치시  부강면 문곡리 20번지
자동차관련시설,세종특별자치시  부강면 문곡리 20번지
주거지,세종특별자치시  부강면 등곡리 59번지
주거지,세종특별자치시  부강면 등곡리 59-1번지
주거지,세종특별자치시  부강면 등곡리 59-2번지
창고시설,세종특별자치시  부강면 등곡리 59-3번지
주거지,세종특별자치시  부강면 등곡리 59-5번지
주거지,세종특별자치시  부강면 등곡리 59-6번지
주거지,세종특별자치시  부강면 등곡리 59-7번지
주거지,세종특별자치시  부강면 등곡리 59-8번지
주거지,세종특별자치시  부강면 등곡리 63번지
주거지,세종특별자치시  부강면 등곡리 63번지
주거지,세종특별자치시  부강면 노호리
주거지,세종특별자치시  부강면 노호리
주거지,세종특별자치시  부강면 노호리 7번지
편의시설,세종특별자치시  부강면 노호리 9번지
주거지,세종특별자치시  부강면 노호리 16-5번지
주거지,세종특별자치시  부강면 노호리 16-5번지
주거지,세종특별자치시  부강면 노호리 16-5번지
편의시설,세종특별자치시  부강면 노호리 19-3번지
생산시설,세종특별자치시  부강면 노호리 30-1번지
생산시설,세종특별자치시  부강면 노호리 30-1번지
주거지,세종특별자치시  부강면 금호리
주거지,세종특별자치시  부강면 금호리
창고시설,세종특별자치시  부강면 금호리 29-1번지
생산시설,세종특별자치시  부강면 금호리 30-2번지
생산시설,세종특별자치시  부강면 금호리 30-13번지
생산시설,세종특별자치시  부강면 금호리 30-13번지
생산시설,세종특별자치시  부강면 금호리 30-13번지
생산시설,세종특별자치시  부강면 금호리 31번지
생산시설,세종특별자치시  부강면 금호리 31번지
생산시설,세종특별자치시  부강면 금호리 31번지
창고시설,세종특별자치시  금남면 용포리 2번지
창고시설,세종특별자치시  금남면 용포리 6-1번지
편의시설,세종특별자치시  금남면 용포리 10번지
주거지,세종특별자치시  금남면 용포리 21-1번지
편의시설,세종특별자치시  금남면 용포리 22-14번지
주거지,세종특별자치시  금남면 용포리 25번지
주거지,세종특별자치시  금남면 용포리 29번지
편의시설,세종특별자치시  금남면 용포리 38-5번지
편의시설,세종특별자치시  금남면 용포리 38-5번지
주거지,세종특별자치시  금남면 용포리 47-2번지
편의시설,세종특별자치시  금남면 발산리 5-4번지
주거지,세종특별자치시  금남면 발산리 12번지
주거지,세종특별자치시  금남면 발산리 12번지
주거지,세종특별자치시  금남면 발산리 13번지
주거지,세종특별자치시  금남면 발산리 14번지
