index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
48419,지에스커넥트,와룡건영캐스빌,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 다사읍 서재로12길 41-16와룡건영캐스빌(1068-5 와룡건영캐스빌),24시간 이용가능,거주자외 출입제한,,,"('35.8673552343064', '128.495326305861')","(1090031.4215339974, 1763932.4533628174)"
48422,지에스커넥트,와룡타운,1,AC완속,대구광역시 ,달서구 ,"대구광역시 달서구 이곡동로 32(이곡동, 성서와룡타운)(1256 성서와룡타운)",24시간 이용가능,거주자외 출입제한,,,"('35.852865182187', '128.512063178121')","(1091536.0790217689, 1762312.5459952257)"
48469,지에스커넥트,용산2차 우방타운,1,AC완속,대구광역시 ,달서구 ,"대구광역시 달서구 용산서로 38(용산동, 용산2차우방타운)(928 용산2차우방타운)",24시간 이용가능,거주자외 출입제한,,,"('35.8578898814154', '128.526162785048')","(1092803.644359413, 1762874.2794681592)"
48482,지에스커넥트,용산우방타운,1,AC완속,대구광역시 ,달서구 ,"대구광역시 달서구 용산로 174(용산동, 용산우방타운)(807 용산우방타운)",24시간 이용가능,거주자외 출입제한,,,"('35.8527955189068', '128.530918733547')","(1093231.2077302332, 1762304.7580273207)"
48493,지에스커넥트,용산청구타운,1,AC완속,대구광역시 ,달서구 ,"대구광역시 달서구 용산서로 22(용산동, 용산청구타운)(929 용산청구타운)",24시간 이용가능,거주자외 출입제한,,,"('35.8578223354276', '128.527641308575')","(1092936.5647438902, 1762866.7282017875)"
48499,지에스커넥트,용산현대우방타운201동지하1층,1,AC완속,대구광역시 ,달서구 ,대구광역시 달서구 용산로 253용산현대우방타운201동지하1층(918 용산현대우방아파트),24시간 이용가능,,7kW,,"('35.8590858601329', '128.529735984188')","(1093124.8776673912, 1763007.9832478277)"
48595,지에스커넥트,우방2차강촌마을,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 화랑로80길 9우방2차강촌마을(1119-100 우방2차강촌마을),24시간 이용가능,,7kW,,"('35.876100258353', '128.669498633101')","(1105689.6456199046, 1764910.0984924636)"
48596,지에스커넥트,우방백자맨션,1,AC완속,대구광역시 ,동구 ,대구광역시 동구 동촌로 346우방백자맨션(422 우방백자아파트),24시간 이용가능,거주자외 출입제한,,,"('35.8767267035582', '128.677260687309')","(1106387.460169907, 1764980.1315879233)"
48597,지에스커넥트,우방사랑마을,1,AC완속,대구광역시 ,수성구 ,대구광역시 수성구 달구벌대로 2317우방사랑마을(1090-7 우방사랑마을아파트),09시~22시,거주자외 출입제한,,,"('35.8605736048509', '128.615805098522')","(1100862.5562095195, 1763174.3048462542)"
48605,지에스커넥트,우방연합타운,1,AC완속,대구광역시 ,달성군 ,대구광역시 달성군 논공읍 논공중앙로22길 36(논공우방연합타운)(615-5 논공우방연합타운),24시간 이용가능,거주자외 출입제한,,,"('35.7235136133516', '128.449173049981')","(1085882.2088874474, 1747851.7588538534)"
