index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
67608,대영채비,세종세무서,1,DC콤보,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 126세종세무서(세종 세무서),09:00~18:00,실외(부분개방)_일부 이용자 제한 가능,100kW,,"('36.4787969380223', '127.285997874437')","(980981.1654795853, 1831218.884748461)"
67613,대영채비,세종아트센터,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,국립박물관로 ,세종특별자치시 국립박물관로 21세종예술의전당(예술의 전당),09:00~18:00,,50kW,,"('36.4866708357728', '127.267367731966')","(979300.8473295966, 1832095.3577967763)"
67616,대영채비,세종테크노파크,1,DC차데모+AC3상+DC콤보,세종특별자치시 ,집현중앙7로 ,세종특별자치시 집현중앙7로 3세종산학연클러스터 지원센터(산학연클러스터 지원센터),24시간 이용가능(입주기관 및 관계자만 이용가능),입주기관 및 관계자만 이용가능,50kW,,"('36.4993301259753', '127.329013128542')","(984860.8627127938, 1833504.51080141)"
68840,대영채비,한국농어촌공사 세종대전금산지사,1,AC완속,세종특별자치시 ,연서면 ,세종특별자치시 연서면 세종로 2119,09:00~18:00,,,,"('36.5764799178508', '127.29134221608')","(981463.1904708834, 1842092.3430802487)"
69016,대영채비,해밀동 복합커뮤니티센터,1,AC완속,세종특별자치시 ,해밀1로 ,세종특별자치시 해밀1로 45해밀동 복합커뮤니티센터(해밀동 복합커뮤니티센터),09:00~18:00,,7kW,,"('36.5268385885328', '127.268184771254')","(979374.5389799427, 1836566.5807947258)"
69040,대영채비,행정안전부 정부청사관리본부 세종청사 10동,1,DC콤보,세종특별자치시 ,도움4로 ,세종특별자치시 도움4로 13정부세종청사 10동 옥외주차장(568 보건복지부 정부세종청사 10동 옥외주차장),09:00~18:00,,200kW,위탁운영,"('36.502544924301', '127.26211023391')","(978826.6550672025, 1833862.3620432639)"
69042,대영채비,행정안전부 정부청사관리본부 세종청사 11동,1,DC콤보,세종특별자치시 ,한누리대로 ,세종특별자치시 한누리대로 422정부세종청사 11동(581 고용노동부 정부세종청사 11동),09:00~18:00,,200kW,위탁운영,"('36.5014003809725', '127.261652306316')","(978785.3529650434, 1833734.9586387686)"
71118,클린일렉스,세종아름드리주차타워(우수건설),1,DC콤보,세종특별자치시 ,아름서1길 ,세종특별자치시 아름서1길 13-6아름드리주차타워3층(1331 아름드리타워),24시간 이용가능,,50kW,,"('36.5113044907262', '127.243226934115')","(977123.5037667442, 1834837.4221888094)"
72301,클린일렉스,케이티온(세종),1,DC콤보,세종특별자치시 ,다정중앙로 ,세종특별자치시 다정중앙로 52(933 페스티발2),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.4951814591185', '127.249257297753')","(977667.4034973955, 1833042.7071557895)"
72518,클린일렉스,현다이엔지세종사옥,1,DC콤보,세종특별자치시 ,집현중앙4로 ,세종특별자치시 집현중앙4로 16현다이엔지 세종사옥(집현동 산44),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,,,"('36.4964381540715', '127.331774801707')","(985109.947739959, 1833182.5945776433)"
74331,이카플러그,세종 강남프라자1 충전소,1,AC완속,세종특별자치시 ,시청대로 ,세종특별자치시 시청대로 127(보람동)(705 강남프라자),24시간 이용가능,시설 상황에 따라 이용이 제한될 수 있음,7kW,,"('36.4796736779492', '127.286071731931')","(980987.8269470365, 1831316.4779533336)"
