주용도코드명,대지위치
주거지,대구광역시 중구 달성동 46번지
주거지,대구광역시 중구 달성동 52-11번지
주거지,대구광역시 중구 달성동 86번지
주거지,대구광역시 중구 달성동 90번지
편의시설,대구광역시 중구 달성동 114-32번지
편의시설,대구광역시 중구 달성동 115-11번지
판매시설,대구광역시 중구 남산동 1-90번지
주거지,대구광역시 중구 남산동 47-4번지
주거지,대구광역시 중구 남산동 87-16번지
편의시설,대구광역시 중구 남산동 94-2번지
편의시설,대구광역시 중구 남산동 94-22번지
주거지,대구광역시 중구 남산동 94-24번지
주거지,대구광역시 중구 남산동 94-26번지
자동차관련시설,대구광역시 중구 대봉동 1-1번지
편의시설,대구광역시 중구 대봉동 1-18번지
주거지,대구광역시 중구 대봉동 1-25번지
주거지,대구광역시 중구 대봉동 2-6번지
편의시설,대구광역시 중구 대봉동 2-7번지
편의시설,대구광역시 중구 대봉동 2-8번지
편의시설,대구광역시 중구 대봉동 2-10번지
편의시설,대구광역시 중구 대봉동 2-11번지
편의시설,대구광역시 중구 대봉동 2-20번지
주거지,대구광역시 동구 신암동 20번지
생산시설,대구광역시 동구 신암동 20-1번지
편의시설,대구광역시 동구 신암동 20-14번지
편의시설,대구광역시 동구 신암동 20-15번지
주거지,대구광역시 동구 신암동 20-19번지
주거지,대구광역시 동구 신천동 3-11번지
주거지,대구광역시 동구 신천동 10번지
주거지,대구광역시 동구 신천동 11번지
편의시설,대구광역시 동구 신천동 15-2번지
주거지,대구광역시 동구 신천동 15-3번지
편의시설,대구광역시 동구 효목동 1-9번지
주거지,대구광역시 동구 효목동 2-1번지
편의시설,대구광역시 동구 효목동 3-17번지
주거지,대구광역시 동구 효목동 5-11번지
주거지,대구광역시 동구 효목동 5-51번지
편의시설,대구광역시 동구 효목동 5-52번지
편의시설,대구광역시 동구 효목동 6번지
주거지,대구광역시 동구 효목동 9번지
주거지,대구광역시 동구 평광동 44번지
주거지,대구광역시 동구 평광동 46번지
주거지,대구광역시 동구 평광동 47번지
주거지,대구광역시 동구 평광동 89번지
주거지,대구광역시 동구 평광동 91번지
주거지,대구광역시 동구 평광동 91-1번지
주거지,대구광역시 동구 평광동 92번지
주거지,대구광역시 동구 평광동 96번지
주거지,대구광역시 동구 봉무동 72번지
주거지,대구광역시 동구 봉무동 72-1번지
주거지,대구광역시 동구 봉무동 72-4번지
주거지,대구광역시 동구 봉무동 76번지
주거지,대구광역시 동구 봉무동 80번지
주거지,대구광역시 동구 봉무동 83번지
창고시설,대구광역시 동구 봉무동 84-1번지
농축산업시설,대구광역시 동구 봉무동 88번지
편의시설,대구광역시 동구 불로동 8-3번지
주거지,대구광역시 동구 불로동 16-1번지
주거지,대구광역시 동구 불로동 16-5번지
주거지,대구광역시 동구 불로동 16-6번지
주거지,대구광역시 동구 불로동 16-7번지
주거지,대구광역시 동구 불로동 16-8번지
주거지,대구광역시 동구 불로동 16-9번지
주거지,대구광역시 동구 도동 1-1번지
주거지,대구광역시 동구 도동 1-2번지
주거지,대구광역시 동구 도동 1-3번지
주거지,대구광역시 동구 도동 1-4번지
편의시설,대구광역시 동구 도동 2번지
