index,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한,충전용량,비고,WGS84,GRS80
57358,에버온,대전유성 샘물타운아파트 1주차장,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 원내로 521지하주차장 휀룸실1 우측,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.298866229073', '127.320417957871')","(983885.2979498123, 1811265.1271627343)"
57376,에버온,대전유성 스마트시티주상복합A1(B2),1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 엑스포로123번길 46-15(4-7 스마트시티),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3771856256746', '127.393837394513')","(990554.9561772494, 1819981.6247757375)"
57382,에버온,대전유성 엑스포아파트1단지,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 엑스포로 4481단지 2지하주차장 A-3기둥 우측,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.4002051638609', '127.407353647005')","(991782.8161113557, 1822543.566751287)"
57392,에버온,대전유성 열매마을11단지1,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 왕가봉로 23(열매마을아파트 11단지),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.365850643176', '127.314885865059')","(983382.7448109419, 1818720.1065289227)"
57416,에버온,대전유성 하우스토리101동B1,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 덕명로 63101동 지하1층 41기둥,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",외부인 사용불가,7kW,입주민만 사용가능 거주자외 출입제한,"('36.3583087825645', '127.306505145155')","(982621.4132069949, 1817880.7408944787)"
57434,에버온,대전유성구_유성숲오투그란데3차아파트,1,AC완속,대전광역시 ,유성구 ,"대전광역시 유성구 학하중앙로 601거점-지하1층 B31번 기둥 좌측, 2거점-지하1층 A16번 기둥 우측(숲 오투그란데3차 1거점-지하1층 B31번 기둥 좌측, 2거점-지하1층 A16번 기둥 우측)","24시간 이용가능,입주민만 사용가능 거주자 외 출입제한",외부인 사용불가,7kW,,"('36.3457290294486', '127.300884863454')","(982110.848705249, 1816480.6868495694)"
57436,에버온,대전유성구_하늘바람휴먼시아아파트1,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 와룡로136번길 154주차장 113동 쪽 휀룸실 좌측(295 하늘바람휴먼시아 4주차장 113동 쪽 휀룸실 좌측),"24시간 이용가능,입주민만 사용가능 거주자 외 출입제한",외부인 사용불가,7kW,,"('36.4382612100494', '127.38245586779')","(989521.0216114068, 1826778.9854362616)"
57457,에버온,대전중구 삼성아파트,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 계룡로 852(175-1 삼성아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3252673900411', '127.406634956086')","(991717.5279122065, 1814203.424271043)"
57462,에버온,대전중구 새롬아파트 1,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 평촌로 9(420-1 새롬아파트),24시간 이용가능,외부인 사용불가,,외부인 사용불가,"('36.3227234441376', '127.388816848479')","(990098.8735962131, 1813920.2977486535)"
57467,에버온,대전중구 큰솔6차아파트,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 대둔산로 512(335-12 큰솔아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3146609736385', '127.390524264183')","(990253.9807411152, 1813022.991233158)"
57472,에버온,대전중구 푸른뫼아파트 102동,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 수침로 122102동 지하주차장 A-1기둥,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",,,입주민만 사용가능 거주자외 출입제한,"('36.3303462199', '127.399453941441')","(991065.1814001799, 1814768.6687732083)"
57482,에버온,대전중구 한라무지개,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 계룡로737번길 27(160-1 한라무지개아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3336355094112', '127.401365857851')","(991238.8660482435, 1815134.7477449183)"
57484,에버온,대전중구 한밭가든아파트,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 보문산로 31104동 동쪽 측면 옥외,"24시간 이용가능,입주민만 사용가능 거주자외출입제한",외부인 사용불가,7kW,입주민만 사용가능 거주자외 출입제한,"('36.3111230903283', '127.412220844944')","(992224.9680572599, 1812629.2452038655)"
57491,에버온,대전중구 한밭우성아파트 1주차장,1,AC완속,대전광역시 ,중구 ,대전광역시 중구 서문로 32(141 한밭우성아파트),24시간 이용가능,외부인 사용불가,7kW,외부인 사용불가,"('36.3113044128371', '127.410149505642')","(992036.8009199281, 1812649.425354425)"
57501,에버온,대한주택공사송림마을4단지1,1,AC완속,대전광역시 ,유성구 ,대전광역시 유성구 노은로 358(542 송림마을아파트4단지),24시간 이용가능,외부인 사용불가,7kW,입주민만이용가능,"('36.3882456826916', '127.324584142655')","(984263.7676016171, 1821212.5454004041)"
60488,에버온,성남동주민센터,1,AC완속,대전광역시 ,동구 ,대전광역시 동구 계족로368번길 70(8-2 성남동주민센터),평일 09시~18시 이용가능,,,,"('36.3445362379012', '127.437488613854')","(994520.3736134387, 1816347.9360224842)"
