,주용도코드명,대지위치
499,주거지,대전광역시 중구 석교동 4-8번지
500,주거지,대전광역시 중구 호동 4-1번지
501,편의시설,대전광역시 중구 호동 4-9번지
502,편의시설,대전광역시 중구 호동 7-1번지
503,주거지,대전광역시 중구 호동 7-2번지
505,주거지,대전광역시 중구 호동 7-3번지
507,주거지,대전광역시 중구 호동 7-4번지
508,편의시설,대전광역시 중구 호동 7-7번지
510,주거지,대전광역시 중구 옥계동 4-1번지
511,주거지,대전광역시 중구 옥계동 4-2번지
512,편의시설,대전광역시 중구 옥계동 4-6번지
513,편의시설,대전광역시 중구 옥계동 4-7번지
515,주거지,대전광역시 중구 옥계동 4-13번지
517,주거지,대전광역시 중구 옥계동 4-14번지
519,주거지,대전광역시 중구 옥계동 4-15번지
520,편의시설,대전광역시 중구 대사동 3번지
521,주거지,대전광역시 중구 대사동 15-4번지
522,주거지,대전광역시 중구 대사동 35-80번지
523,주거지,대전광역시 중구 대사동 62-2번지
524,편의시설,대전광역시 중구 대사동 62-3번지
525,편의시설,대전광역시 중구 대사동 62-6번지
526,편의시설,대전광역시 중구 대사동 62-8번지
527,편의시설,대전광역시 중구 대사동 62-9번지
528,편의시설,대전광역시 중구 대사동 62-10번지
529,편의시설,대전광역시 중구 대사동 63-1번지
530,주거지,대전광역시 중구 부사동 13-74번지
532,주거지,대전광역시 중구 부사동 24-3번지
534,주거지,대전광역시 중구 부사동 33번지
535,주거지,대전광역시 중구 부사동 34-24번지
536,주거지,대전광역시 중구 부사동 75-24번지
537,주거지,대전광역시 중구 부사동 84-6번지
538,편의시설,대전광역시 중구 부사동 84-8번지
539,주거지,대전광역시 중구 부사동 84-15번지
540,편의시설,대전광역시 중구 용두동 1-5번지
541,주거지,대전광역시 중구 용두동 1-54번지
542,주거지,대전광역시 중구 용두동 2-2번지
543,주거지,대전광역시 중구 용두동 2-10번지
544,주거지,대전광역시 중구 용두동 7-2번지
545,주거지,대전광역시 중구 용두동 7-18번지
547,주거지,대전광역시 중구 용두동 7-58번지
548,주거지,대전광역시 중구 용두동 8번지
550,편의시설,대전광역시 중구 오류동 15-67번지
551,주거지,대전광역시 중구 오류동 17번지
552,주거지,대전광역시 중구 오류동 17-20번지
553,주거지,대전광역시 중구 오류동 34번지
554,주거지,대전광역시 중구 오류동 38번지
555,주거지,대전광역시 중구 오류동 51번지
557,주거지,대전광역시 중구 오류동 64번지
558,주거지,대전광역시 중구 오류동 69번지
559,주거지,대전광역시 중구 오류동 69-8번지
560,주거지,대전광역시 중구 태평동 26-39번지
561,문화및집회시설,대전광역시 중구 태평동 82-28번지
563,주거지,대전광역시 중구 태평동 253-1번지
570,주거지,대전광역시 중구 유천동 10번지
580,교육연구시설,대전광역시 중구 문화동
590,편의시설,대전광역시 중구 산성동
591,주거지,대전광역시 중구 산성동 5-1번지
592,주거지,대전광역시 중구 산성동 6-28번지
593,창고시설,대전광역시 중구 산성동 14-3번지
596,주거지,대전광역시 중구 산성동 14-16번지
598,주거지,대전광역시 중구 산성동 14-19번지
599,주거지,대전광역시 중구 산성동 16-2번지
600,주거지,대전광역시 중구 사정동
601,편의시설,대전광역시 중구 사정동 3-4번지
602,주거지,대전광역시 중구 사정동 26번지
603,주거지,대전광역시 중구 사정동 28-1번지
604,주거지,대전광역시 중구 사정동 32번지
605,주거지,대전광역시 중구 사정동 89번지
606,주거지,대전광역시 중구 사정동 93-1번지
607,주거지,대전광역시 중구 사정동 94번지
608,문화및집회시설,대전광역시 중구 사정동 100번지
610,주거지,대전광역시 중구 안영동
611,주거지,대전광역시 중구 안영동 30-10번지
613,편의시설,대전광역시 중구 안영동 71-1번지
619,주거지,대전광역시 중구 안영동 75-2번지
620,주거지,대전광역시 중구 무수동 67번지
623,편의시설,대전광역시 중구 무수동 83-2번지
624,주거지,대전광역시 중구 무수동 85번지
626,농축산업시설,대전광역시 중구 무수동 85-2번지
627,주거지,대전광역시 중구 무수동 90번지
629,주거지,대전광역시 중구 무수동 94번지
630,농축산업시설,대전광역시 중구 구완동 15-3번지
631,주거지,대전광역시 중구 구완동 65번지
638,주거지,대전광역시 중구 구완동 65-1번지
639,주거지,대전광역시 중구 구완동 70번지
640,주거지,대전광역시 중구 침산동 2-1번지
642,주거지,대전광역시 중구 침산동 7-2번지
644,창고시설,대전광역시 중구 침산동 14번지
645,편의시설,대전광역시 중구 침산동 63번지
646,주거지,대전광역시 중구 침산동 95번지
649,주거지,대전광역시 중구 침산동 101-1번지
650,주거지,대전광역시 중구 목달동
652,주거지,대전광역시 중구 목달동 23-1번지
654,주거지,대전광역시 중구 목달동 23-3번지
655,주거지,대전광역시 중구 목달동 31번지
658,주거지,대전광역시 중구 목달동 34번지
660,주거지,대전광역시 중구 정생동 9-1번지
663,주거지,대전광역시 중구 정생동 10-3번지
667,주거지,대전광역시 중구 정생동 10-6번지
668,주거지,대전광역시 중구 정생동 14-1번지
669,주거지,대전광역시 중구 정생동 14-3번지
670,주거지,대전광역시 중구 어남동 21번지
671,주거지,대전광역시 중구 어남동 30-2번지
673,주거지,대전광역시 중구 어남동 35-2번지
674,생산시설,대전광역시 중구 어남동 43번지
675,교육연구시설,대전광역시 중구 어남동 52-1번지
676,주거지,대전광역시 중구 어남동 52-2번지
678,주거지,대전광역시 중구 어남동 54번지
680,주거지,대전광역시 중구 금동 61번지
682,농축산업시설,대전광역시 중구 금동 121번지
683,주거지,대전광역시 중구 금동 122번지
684,주거지,대전광역시 중구 금동 123번지
685,주거지,대전광역시 중구 금동 124번지
686,주거지,대전광역시 중구 금동 125번지
688,주거지,대전광역시 중구 금동 127번지
690,편의시설,대전광역시 서구 복수동 3-2번지
691,주거지,대전광역시 서구 복수동 3-5번지
692,주거지,대전광역시 서구 복수동 3-7번지
693,창고시설,대전광역시 서구 복수동 23-1번지
694,주거지,대전광역시 서구 복수동 41번지
695,주거지,대전광역시 서구 복수동 66번지
696,주거지,대전광역시 서구 복수동 82번지
697,주거지,대전광역시 서구 복수동 92-1번지
699,편의시설,대전광역시 서구 복수동 92-3번지
700,편의시설,대전광역시 서구 변동 1-2번지
701,주거지,대전광역시 서구 변동 1-3번지
706,농축산업시설,대전광역시 서구 변동 1-5번지
707,주거지,대전광역시 서구 변동 1-10번지
708,주거지,대전광역시 서구 변동 1-13번지
709,주거지,대전광역시 서구 변동 1-15번지
710,주거지,대전광역시 서구 도마동 4-7번지
711,주거지,대전광역시 서구 도마동 4-13번지
712,주거지,대전광역시 서구 도마동 4-131번지
713,주거지,대전광역시 서구 도마동 4-149번지
714,주거지,대전광역시 서구 도마동 5-3번지
715,주거지,대전광역시 서구 도마동 8번지
716,님비시설,대전광역시 서구 도마동 14-1번지
718,편의시설,대전광역시 서구 도마동 14-2번지
719,주거지,대전광역시 서구 도마동 14-3번지
720,님비시설,대전광역시 서구 정림동 1-1번지
721,편의시설,대전광역시 서구 정림동 1-7번지
722,편의시설,대전광역시 서구 정림동 1-26번지
723,편의시설,대전광역시 서구 정림동 4-8번지
724,편의시설,대전광역시 서구 정림동 5-1번지
725,편의시설,대전광역시 서구 정림동 5-2번지
726,편의시설,대전광역시 서구 정림동 5-3번지
727,주거지,대전광역시 서구 정림동 5-4번지
728,주거지,대전광역시 서구 정림동 5-5번지
729,주거지,대전광역시 서구 정림동 5-6번지
730,주거지,대전광역시 서구 용문동 55-6번지
731,주거지,대전광역시 서구 용문동 101-8번지
732,주거지,대전광역시 서구 용문동 114-1번지
733,주거지,대전광역시 서구 용문동 173번지
734,주거지,대전광역시 서구 용문동 182-141번지
735,주거지,대전광역시 서구 용문동 200-32번지
736,생산시설,대전광역시 서구 용문동 206-1번지
737,자동차관련시설,대전광역시 서구 용문동 206-3번지
740,주거지,대전광역시 서구 탄방동 53-1번지
744,생산시설,대전광역시 서구 탄방동 53-2번지
745,편의시설,대전광역시 서구 탄방동 53-3번지
746,편의시설,대전광역시 서구 탄방동 53-4번지
747,편의시설,대전광역시 서구 탄방동 53-5번지
748,주거지,대전광역시 서구 탄방동 54-1번지
749,편의시설,대전광역시 서구 탄방동 54-2번지
750,주거지,대전광역시 서구 괴정동 1-1번지
751,편의시설,대전광역시 서구 괴정동 1-2번지
752,편의시설,대전광역시 서구 괴정동 1-3번지
753,편의시설,대전광역시 서구 괴정동 1-4번지
754,교육연구시설,대전광역시 서구 괴정동 1-5번지
755,주거지,대전광역시 서구 괴정동 1-7번지
756,주거지,대전광역시 서구 괴정동 1-12번지
757,주거지,대전광역시 서구 괴정동 1-14번지
758,주거지,대전광역시 서구 괴정동 1-37번지
759,주거지,대전광역시 서구 괴정동 2-1번지
760,주거지,대전광역시 서구 가장동 1번지
761,주거지,대전광역시 서구 가장동 1-18번지
762,주거지,대전광역시 서구 가장동 1-66번지
763,주거지,대전광역시 서구 가장동 1-67번지
764,주거지,대전광역시 서구 가장동 4-2번지
765,주거지,대전광역시 서구 가장동 6번지
766,주거지,대전광역시 서구 가장동 10번지
767,주거지,대전광역시 서구 가장동 11-1번지
768,주거지,대전광역시 서구 가장동 13번지
769,주거지,대전광역시 서구 가장동 16번지
770,편의시설,대전광역시 서구 내동 1-1번지
771,편의시설,대전광역시 서구 내동 1-4번지
