주차장명,주차장구분,소재지지번주소,주차구획수,위도,경도
유성장로교회앞,공영,대전광역시 유성구 구암동 590-21,24,36.3545368,127.3313405
유성고등학교 주변,공영,대전광역시 유성구 구암동 611-31,8,36.34971868,127.3368407
성원상떼빌 주변,공영,대전광역시 유성구 장대동 376-2,36,36.35834383,127.3401439
계룡스파텔 옆,공영,대전광역시 유성구 봉명동 539-1,29,36.35513271,127.3478811
청주해장국 앞,공영,대전광역시 유성구 봉명동 535-7,9,36.35606304,127.3417545
유성우체국 앞,공영,대전광역시 유성구 봉명동 536-8,21,36.35581805,127.3430064
홍도동 시영아파트 주변,공영,"대전광역시 동구 동산1길, 흑정골길, 동산5길",20,37.05540140000023,127.05182959999944
"홍도동 평화로운@, 대호빌라 주변",공영,대전광역시 동구 홍도동 89-92번지선,23,36.346489000000126,127.4211137999994
"홍도빌라 주변(흑정골길, 3길, 6길)",공영,대전광역시 동구 홍도동 175-15~139-11번지선,27,36.344051100000016,127.42345539999995
가양동 노외공영주차장,공영,대전광역시 동구 가양동 435-16,19,36.34563939999997,127.44306269999969
가양동체육센터앞주차장,공영,대전광역시 동구 가양동 709-2,18,36.33947039999976,127.43731459999994
낭월동 공한지 주차장,공영,대전광역시 동구 낭월동 584,12,36.27864869999961,127.4676852999996
대동공영주차장,공영,대전광역시 동구 대동 25-15,11,36.330572299999616,127.44911899999975
용운동 일반통행길(하행길),공영,대전광역시 동구 용운동 447-6~489-7번지선,21,36.328140099999594,127.45262339999944
용운동 일방통행길(상행길),공영,대전광역시 동구 용운동 487~451-18,38,36.32612170000013,127.44391000000013
용운동 주공저층아파트 담길,공영,대전광역시 동구 용운동282-277번지선,45,36.3280353999996,127.45218640000012
우송대학교 서 캠퍼스 후문,공영,대전광역시 동구 자양동 308-9~321-10번지선,26,37.05540140000023,127.05182959999944
원동중동 천변 노상,공영,"대전광역시 동구 원동 85-61번지선, 중동 47-26번지선",62,36.327521599999905,127.41736439999924
자양동 동아아파트 담길,공영,"대전광역시 동구 동아@ 102,103,105동 담길",37,36.335582399999915,127.44611239999992
자양동 쌍용주유소 뒷길,공영,대전광역시 동구 자양동 193-10～197-15번지선,45,36.34183660000008,127.44995479999972
자양동 우송대학교 동 캠퍼스 담길,공영,대전광역시 동구 자양동 98-17~97-3번지선,30,36.33539269999986,127.4516695999996
판암1동 주공(아) 207-208동 담길,공영,대전광역시 동구 판암2차주공@ 담길,22,37.05540140000023,127.05182959999944
판암1동 주공(아) 209동 담길,공영,대전광역시 동구 판암2차주공@ 담길,13,37.05540140000023,127.05182959999944
판암1동 주공(아) 211동 담길,공영,대전광역시 동구 판암2차주공@ 담길,26,37.05540140000023,127.05182959999944
판암2동 판암면옥 옆길,공영,대전광역시 동구 판암동503-2~507-2번지선,14,36.31923180000009,127.45203539999929
판암IC옆(개심사 가는 방향),공영,대전광역시 동구 판암1동 218-2번지선,25,36.31827639999987,127.46431230000003
판암동 복개도로 위(삼성전자 판매장 뒤),공영,대전광역시 동구 판암2동 598,12,36.3188486999997,127.45114499999934
판암동 신영유통 앞,공영,대전광역시 동구 판암동174-1,4,36.317337099999676,127.46646229999999
